Video_ID,Published Date,Channel_ID,Video Title,Description,Thumbnail URL,Channel_Title,,,,,
G5fHLl4KgyM,2020-07-30T18:30:03Z,UCf3r1JdYf6scuGaI0YRkyNg,Guitar of the Day: 1961 Fender Jazzmaster Sunburst | Norman&#39;s Rare Guitars,"Can't spell #wednESday without ES!!! Stay safe, be kind and hope you're all well! Enjoy this new episode of #GuitarOfTheDay: Lemmo playing an Original 1961 ...",https://i.ytimg.com/vi/G5fHLl4KgyM/default.jpg,Normans Rare Guitars,,,,,
tU7kmQhXr8k,2017-11-05T15:00:08Z,UCgFvT6pUq9HLOvKBYERzXSQ,"25 BASS GUITARS, 1 SOLO",Playing 25 different Bass Guitars in one solo... number 25 is a very special one... What's your favourite and least favourite part? Leave a comment! :D TABS and ...,https://i.ytimg.com/vi/tU7kmQhXr8k/default.jpg,Davie504,,,,,
gxnvmu2ztKE,2020-06-19T14:00:14Z,UCshiNtfJ7Dj3nlh41a6M-kg,The Ridiculous Sound of a Fretless Guitar,GUITAR PLAYERS! Register for my guitar summer camp with Paul Reed Smith: https://bit.ly/PRSMDTyler We're taking suggestions for which model PRS Guitars ...,https://i.ytimg.com/vi/gxnvmu2ztKE/default.jpg,Music is Win,,,,,
cUxRhesT8gY,2012-06-25T01:57:48Z,UCGnVb3zNM46mvKCUjFTUXGw,Guitar Lesson - How To Play Your First Chord,Take my FREE beginner guitar course here: ...,https://i.ytimg.com/vi/cUxRhesT8gY/default.jpg,Worship Tutorials,,,,,
WhAPkjS19a0,2019-02-28T18:58:18Z,UCWku7vnaD_c-VwvqCeDrWTg,&quot;The Beatles&quot; Guitar Collection,"Alright everyone, here we are with an amazing guitar collection to share with you all! Recently Trevor, Tyler, and our media producer Ken, went down to Palm ...",https://i.ytimg.com/vi/WhAPkjS19a0/default.jpg,Emerald City Guitars,,,,,
AOM4_8fiSwQ,2018-08-28T13:29:57Z,UC_Oa7Ph3v94om5OyxY1nPKg,$295 vs $7000 Guitar | Cheap vs Expensive | That big a difference?,TABS/CHORDS available on Patreon** Orangewood provided me with a 10% discount code you can use in their store! https://orangewoodguitars.com CODE: ...,https://i.ytimg.com/vi/AOM4_8fiSwQ/default.jpg,Paul Davids,,,,,
qvr8hBkYEFo,2017-11-14T10:00:06Z,UCFR_MSs4CCqUUtBCMMakUKQ,"The Great Guitars: Barney Kessel, Charlie Byrd and Herb Ellis • 11-07-1982 • World of Jazz","Three of the all time greatest jazz guitarists perform their unique skills on the guitar: Barney Kessel, born in Muskogee, Oklahoma, USA on October 17, 1923 was ...",https://i.ytimg.com/vi/qvr8hBkYEFo/default.jpg,World of Jazz,,,,,
6i0a7RDPkM8,2019-05-14T13:00:11Z,UCI7fys0WM62xF2jUlUdq0XQ,The Game Of Thrones Theme Song | Custom Shop | Fender,"Watch as Game Of Thrones creator Dan Weiss, Tom Morello of Audioslave/Rage Against The Machine, Scott Ian of Anthrax, Nuno Bettencourt of Extreme, Brad ...",https://i.ytimg.com/vi/6i0a7RDPkM8/default.jpg,Fender,,,,,
_E6mIYNO3So,2019-01-30T12:04:29Z,UCP_k5WdrOOuWaThTU6MDonw,The David Gilmour Guitar Collection,"YES, I HAVE GHOSTS is the first new song from David Gilmour in 5 years and features the voice and harp playing of his daughter Romany. Available to stream ...",https://i.ytimg.com/vi/_E6mIYNO3So/default.jpg,David Gilmour,,,,,
OG__SwkV3wg,2017-05-03T08:50:19Z,UCF1IlB8jLMnemut3t0WKIXw,Mark Knopfler on Guitars,Taken from “Soundbreaking” documentary © 2016 Higher Ground LLC vk.com/markknopfler.,https://i.ytimg.com/vi/OG__SwkV3wg/default.jpg,Mark Knopfler Russia,,,,,
Y_EL1ldu_MU,2020-01-17T11:30:12Z,UCZviKjIaKxi-qDfyRpcD_2w,3 Tips on How to Buy Your FIRST BUDGET GUITAR(Acoustic) in India - for Beginners - Piku Attri,3 MUST KNOW tips for beginner guitar buyers. What Guitar is good for beginners? What are the thing i need to consider when buying my FIRST ever guitar?,https://i.ytimg.com/vi/Y_EL1ldu_MU/default.jpg,Piku Attri,,,,,
fTFDpgHeDEE,2019-12-07T10:36:24Z,UCedyz55lVxjAwPaB78w5CLg,Vivaldi - Two guitars,Hello everybody! My name is Victor. I am a private guitar teacher. Here you can see my students. Online and offline lessons and our absolutely creative work ...,https://i.ytimg.com/vi/fTFDpgHeDEE/default.jpg,Vi Gi,,,,,
Oege1AsF4PY,2020-03-16T16:02:36Z,UCh5zlvB1pZyU3KYjEPC38KQ,Tones And I - Dance Monkey - Electric Guitar Cover by Kfir Ochaion,Tones And I - Dance Monkey - Electric Guitar Cover by Kfir Ochaion Learn to play guitar - 14 days FREE trial: https://smarturl.it/LearnToPlayGuitar ❤️️ Please ...,https://i.ytimg.com/vi/Oege1AsF4PY/default.jpg,Kfir Ochaion,,,,,
Zt-A_naakLg,2019-03-26T14:16:49Z,UC_Oa7Ph3v94om5OyxY1nPKg,The four guitars I CAN&#39;T live without,"The four guitars everyone needs, wants, or dreams about! I'm showing you my electric guitar collection. The guitars that make it possible for me to get almost ...",https://i.ytimg.com/vi/Zt-A_naakLg/default.jpg,Paul Davids,,,,,
M5t6E3T6sKk,2017-05-08T12:32:47Z,UCiB4ezwMV_qOq_AxqPojnsg,10 Rock Songs Every Beginner Guitar Player Should Know (no talking),We've selected 10 classic rock songs for you! Read the full article: http://bit.ly/10RockSongs List: 00:00 Smoke On The Water - Deep Purple 00:20 Song 2 - Blur ...,https://i.ytimg.com/vi/M5t6E3T6sKk/default.jpg,Guitar Bonedo,,,,,
ftOcMErITMs,2020-07-31T20:00:09Z,UCf3r1JdYf6scuGaI0YRkyNg,Guitar of the Day: 1952 Martin D-28 | Norman&#39;s Rare Guitars,"It's #FlatTopFriday with Todd Wisenbaker!!! Stay safe, be kind and hope you're all well! Enjoy this new episode of #GuitarOfTheDay: Todd playing an Original ...",https://i.ytimg.com/vi/ftOcMErITMs/default.jpg,Normans Rare Guitars,,,,,
2eEB-vJic_o,2015-01-30T03:08:06Z,UCc0boHDFz165Luzeo0j4XiA,Gittler Guitar Demo,Here is a quick demo of the new Gittler Guitar. I have had it for a couple of days and its one of the coolest guitars I have ever played. Hi everyone. My Gittler was ...,https://i.ytimg.com/vi/2eEB-vJic_o/default.jpg,Bob Gomez,,,,,
Aaipnxrdd78,2018-08-06T22:00:00Z,UC0azGEV7u2r9f97LxDb-9Ew,Fingerstyle Guitar Champion Christie Lenée: Acoustic Guitar Session,"Taking time out from a packed touring schedule, 2017 International Fingerstyle Guitar Champion Christie Lenée braved Bay Area traffic, with her cherished ...",https://i.ytimg.com/vi/Aaipnxrdd78/default.jpg,Acoustic Guitar Magazine,,,,,
yYXiyV212ss,2020-07-07T19:00:20Z,UCEzJtFWNg7d7TZW7K9JyXmw,I Ranked Import Guitar Brands Worst To Best,Here are some Affiliate Links to some of the highest rated guitars that I liked My Favorite Sub $600 Godin Guitar https://imp.i114863.net/r5A6B Sterling Musicman ...,https://i.ytimg.com/vi/yYXiyV212ss/default.jpg,Phillip McKnight,,,,,
8ycFhEDg5dM,2020-08-01T12:38:51Z,UCyqhJCN8gDr0X8H9iUCP2sg,Nhạc Phòng Trà Không Lời Hay Nhất | Hòa Tấu Rumba Guitar | Nhạc Không lời trực tiếp 24h,Thể Loại: Nhạc Không Lời ➡️Bản quyền: Mạnh Hà - Vui lòng không sao chép dưới mọi hình thức ➡️ Subcribe: http://goo.gl/RxlivK ➡️ Chúc Các Bạn Nghe ...,https://i.ytimg.com/vi/8ycFhEDg5dM/default_live.jpg,Nhạc Sống Mạnh Hà,,,,,
KCWoR0gfgUk,2020-07-30T23:10:00Z,UCEzJtFWNg7d7TZW7K9JyXmw,I Ranked Import Guitar Brands Worst To Best Under $300,Import Guitar Brands Under $600 Video https://www.youtube.com/watch?v=yYXiyV212ss&feature=youtu.be Import Guitar Brands Under $1000 Video ...,https://i.ytimg.com/vi/KCWoR0gfgUk/default.jpg,Phillip McKnight,,,,,
